City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Bengkulu,ID,-3.8004,102.2655,74.14,90,47,4.03,scattered clouds
289,Faanui,PF,-16.4833,-151.75,76.73,77,3,11.52,clear sky
290,Sembakung,ID,3.8167,117.25,73.18,99,100,0.07,overcast clouds
291,Lakatoro,VU,-16.0999,167.4164,77.18,85,14,9.13,few clouds
292,Whitehorse,CA,60.7161,-135.0538,65.17,59,75,13.8,broken clouds
293,Sangar,RU,63.9242,127.4739,41.59,87,62,7.49,broken clouds
294,Aden,YE,12.7794,45.0367,85.19,64,82,8.79,broken clouds
295,Vostok,RU,46.4856,135.8833,45.84,91,15,4.81,few clouds
296,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,78,40,7.81,scattered clouds
297,Novoagansk,RU,61.9449,76.6625,60.85,87,100,8.23,light rain
298,Yulara,AU,-25.2406,130.9889,40.95,56,0,9.53,clear sky
299,Roura,GF,4.7263,-52.3274,85.91,66,29,4.61,scattered clouds
300,Funchal,PT,32.6333,-16.9,77.0,78,20,9.22,few clouds
301,Karlivka,UA,49.4567,35.1295,70.36,31,0,9.86,clear sky
302,Verdun,FR,49.25,5.3333,80.82,34,33,5.82,scattered clouds
303,Marrakesh,MA,31.6315,-8.0083,91.47,35,20,6.91,thunderstorm
304,Isangel,VU,-19.55,169.2667,74.19,84,1,4.74,clear sky
305,Zabol,AF,32.25,67.25,63.86,83,100,16.33,overcast clouds
306,Minot,US,48.2325,-101.2963,70.02,64,100,6.91,overcast clouds
307,Thaton,MM,16.9206,97.3714,78.08,92,94,3.85,overcast clouds
308,Stephenville Crossing,CA,48.5,-58.4318,68.22,100,100,11.5,mist
309,Rafsanjan,IR,30.4067,55.9939,72.39,10,0,6.58,clear sky
310,Olkhovka,RU,53.2115,60.6069,62.38,56,27,2.82,scattered clouds
311,Kahone,SN,14.15,-16.0333,76.78,84,100,4.88,overcast clouds
312,Rocha,UY,-34.4833,-54.3333,68.92,56,14,3.91,few clouds
313,Saryg-Sep,RU,51.5,95.6,40.86,77,53,2.95,broken clouds
314,Cidreira,BR,-30.1811,-50.2056,63.81,77,1,7.14,clear sky
315,Turan,VN,16.0678,108.2208,76.98,88,20,4.61,moderate rain
316,Vondrozo,MG,-22.8167,47.2833,57.42,96,52,0.78,broken clouds
317,Ust-Omchug,RU,61.15,149.6333,44.24,94,100,9.46,light rain
318,Buin,CL,-33.7333,-70.75,73.87,61,100,2.73,overcast clouds
319,Esperance,AU,-33.8667,121.9,47.98,74,100,11.86,overcast clouds
320,Dryden,CA,49.7833,-92.7503,70.09,56,100,3.44,overcast clouds
321,Makat,KZ,47.6469,53.3463,77.36,34,0,8.16,clear sky
322,Maloy,NO,61.9353,5.1136,62.33,91,100,7.23,light rain
323,Dickinson,US,29.4608,-95.0513,84.02,88,75,8.05,broken clouds
324,Banfora,BF,10.6333,-4.7667,72.18,96,45,3.65,moderate rain
325,Cap-Aux-Meules,CA,47.3821,-61.8597,69.85,83,75,9.22,broken clouds
326,Pouebo,NC,-20.4,164.5667,70.41,79,1,5.53,clear sky
327,Tasiilaq,GL,65.6145,-37.6368,46.56,67,60,5.37,broken clouds
328,Vao,NC,-22.6667,167.4833,72.39,75,0,7.4,clear sky
329,Yekaterinoslavka,RU,50.3734,129.1139,51.71,95,100,3.18,overcast clouds
330,Manono,CD,-7.3,27.4167,81.59,32,53,2.28,broken clouds
331,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,81,65,16.51,broken clouds
332,Chapais,CA,49.7834,-74.8492,64.18,40,35,10.67,scattered clouds
333,Bijeljina,BA,44.7569,19.2161,66.79,84,97,2.51,light rain
334,Rayagada,IN,19.1667,83.4167,76.08,88,100,0.78,overcast clouds
335,Junagarh,IN,19.8667,82.9333,76.15,87,100,0.96,overcast clouds
336,Rutana,BI,-3.8667,30.1,63.55,41,5,3.29,clear sky
337,General Roca,AR,-39.0333,-67.5833,62.62,35,100,13.56,overcast clouds
338,Christchurch,NZ,-43.5333,172.6333,42.48,90,75,2.3,broken clouds
339,Torbay,CA,47.6666,-52.7314,74.17,89,75,21.85,broken clouds
340,Kuryk,KZ,43.2,51.65,78.17,32,0,7.74,clear sky
341,Olafsvik,IS,64.8945,-23.7142,49.86,82,96,9.22,overcast clouds
342,Hopewell,US,37.3043,-77.2872,91.58,45,55,1.88,broken clouds
343,Grand-Lahou,CI,5.1367,-5.0242,73.98,87,13,5.86,few clouds
344,Maroua,CM,10.591,14.3159,72.48,84,100,3.94,overcast clouds
345,Kwekwe,ZW,-18.9281,29.8149,60.39,48,20,8.63,few clouds
