City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
589,Trairi,BR,79.93,broken clouds,-3.2778,-39.2689,janelas do mar
593,Fukue,JP,79.48,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
595,Restrepo,CO,84.54,scattered clouds,3.822,-76.5224,Apartaestudios Restrepo
598,Tigzirt,DZ,78.08,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
600,Esmeraldas,BR,80.91,few clouds,-19.7625,-44.3139,Forasteiro Pousada
601,Halifax,CA,78.69,overcast clouds,44.6453,-63.5724,Hotel Halifax
604,San Ramon,US,88.02,clear sky,37.7799,-121.978,San Ramon Marriott
607,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
608,Eureka,US,85.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
610,Yichang,CN,78.21,overcast clouds,30.7144,111.2847,Gezhouba Hotel
612,Matiguas,NI,80.04,overcast clouds,12.8373,-85.4622,Hotel Bethel
613,Southbridge,US,86.47,scattered clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
620,Aksay,RU,83.25,clear sky,47.26,39.87,Chernaya Zhemchuzhina
621,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
625,Half Moon Bay,US,86.58,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
632,Concepcion Del Uruguay,AR,79.25,clear sky,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
634,Sturgis,US,84.0,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
636,Roswell,US,86.58,broken clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
643,Sorong,ID,77.92,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
645,Cockburn Town,TC,83.62,clear sky,21.4612,-71.1419,Osprey Beach Hotel
647,Huilong,CN,79.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
648,Tekari,IN,82.62,broken clouds,24.9333,84.8333,SDO RESIDENCE
649,Chamba,IN,75.06,broken clouds,32.5667,76.1333,NotOnMap - Rafi's House
650,Palasa,IN,80.53,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
651,Ofaqim,IL,78.71,clear sky,31.3141,34.6203,The Negev Experience
653,Zhanaozen,KZ,75.11,clear sky,43.3,52.8,K.korabay 28A
655,Villarrica,PY,79.65,scattered clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
658,Kieta,PG,77.92,light rain,-6.2167,155.6333,Uruna Bay Retreat
662,Morehead,US,85.75,scattered clouds,37.2711,-87.1764,CCI Express Inn
663,Puerto Escondido,MX,84.72,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
665,Havelock,US,89.56,clear sky,34.8791,-76.9013,Sherwood Motel
670,Port Hawkesbury,CA,76.91,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
671,Hamilton,US,86.95,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
674,Honiara,SB,76.62,scattered clouds,-9.4333,159.95,Heritage Park Hotel
679,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
683,Les Cayes,HT,85.73,scattered clouds,18.2,-73.75,Villa Orphee
688,Panaba,MX,88.9,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
689,Sayula,MX,77.0,few clouds,19.8667,-103.6167,Gran Casa Sayula Hotel Galeria And Spa
690,Saint Anthony,US,83.25,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
691,Tapah,MY,75.11,broken clouds,4.2004,101.2598,Shahrini Homestay
693,Grafton,US,86.36,clear sky,42.207,-71.6856,The Grafton Inn
695,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
696,Ipanema,BR,80.02,clear sky,-30.1391,-51.2244,Terra e Brisa
699,Akyab,MM,80.46,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
701,Artvin,TR,75.99,broken clouds,41.1667,41.8333,Koru Butik Otel
702,Mitsamiouli,KM,75.27,clear sky,-11.3847,43.2844,Foyer ADM
703,Bull Savanna,JM,84.85,broken clouds,17.8868,-77.5902,Big Red's
705,Samsun,TR,75.96,broken clouds,41.25,36.3333,Anemon Samsun Otel
